ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,type_of_engine,engine_capacity,normalised_mileage,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price
97011,domestic assembly,new car,van/minivan,0,white,gray,5,2,,manual,rfd - rear-wheel drive,7.0,suzuki,super carry van,2023.0,Suzuki Super Carry Van Blind Van 2023,12105.29011,petrol,1.0,0.0,0.08,0.67,0.0,0.5,0.3
142495,domestic assembly,new car,4x4,0,grey,black,4,5,single turbo oil injection,automatic,rfd - rear-wheel drive,7.0,ford,ranger,2023.0,Ford Ranger XLS 2.0L 4x2 AT 2023,27854.31303,diesel,2.2,0.0,0.58,0.33,0.21,0.5,0.69
143308,domestic assembly,new car,4x4,0,black,black,4,5,single turbo oil injection,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2023.0,Ford Ranger XLT 2.0L 4x4 AT 2023,33603.31369,diesel,2.2,0.0,0.58,0.33,0.21,0.5,0.83
174951,domestic assembly,new car,van/minivan,0,white,cream,4,7,tdci,manual,rfd - rear-wheel drive,9.0,ford,transit,2023.0,Ford Transit Ambulance 2023,38056.76491,diesel,2.2,0.0,0.58,0.33,0.36,0.75,0.94
183963,domestic assembly,new car,sedan,0,white,yellow,4,5,multi-point electronic fuel injection,automatic,fwd - front-wheel drive,6.0,toyota,vios,2022.0,Toyota Vios E CVT 2022,21943.3687,petrol,1.5,0.0,0.29,0.33,0.21,0.38,0.54
203337,imported,new car,suv,0,white,black,5,7,single turbo oil injection,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Ambiente 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.5,1.0
304604,domestic assembly,new car,sedan,0,black,cream,4,5,vvti,automatic,fwd - front-wheel drive,6.0,toyota,vios,2022.0,Toyota Vios G 1.5 CVT 2022,23967.66471,petrol,1.5,0.0,0.29,0.33,0.21,0.38,0.59
449343,domestic assembly,new car,suv,0,white,black,5,7,multi-point electronic fuel injection,automatic,fwd - front-wheel drive,8.0,mitsubishi,outlander,2022.0,Mitsubishi Outlander 2.0 CVT 2022,33400.88409,petrol,2.0,0.0,0.5,0.67,0.36,0.62,0.82
449349,domestic assembly,new car,suv,0,silver,black,5,7,electronic fuel injection,manual,fwd - front-wheel drive,6.0,mitsubishi,xpander,2022.0,Mitsubishi Xpander 1.5 MT 2022,22469.68566,petrol,1.5,0.0,0.29,0.67,0.36,0.38,0.55
747206,domestic assembly,new car,sedan,0,white,black,4,5,electronic fuel injection,manual,fwd - front-wheel drive,5.0,toyota,vios,2023.0,Toyota Vios E 1.5 MT 2023,19797.61493,petrol,1.5,0.0,0.29,0.33,0.21,0.25,0.49
1342730,domestic assembly,new car,sedan,0,black,black,4,5,electronic fuel injection,automatic,rfd - rear-wheel drive,8.0,mercedes benz,c class,2022.0,Mercedes Benz C class C200 Avantgarde 2022,40485.92011,petrol,1.5,0.0,0.29,0.33,0.21,0.62,1.0
1393396,domestic assembly,new car,sedan,0,grey,black,4,5,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,mazda,3,2023.0,Mazda 3 1.5L Premium 2023,29716.66536,petrol,1.5,0.0,0.29,0.33,0.21,0.38,0.73
1393417,domestic assembly,new car,sedan,0,red,black,4,5,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,mazda,3,2023.0,Mazda 3 1.5L Deluxe 2023,24453.49575,petrol,1.5,0.0,0.29,0.33,0.21,0.38,0.6
